gender,senior_citizen,partner,dependents,tenure,phone_service,multiple_lines,internet_service,online_security,online_backup,device_protection,tech_support,streaming_tv,streaming_movies,contract,paperless_billing,payment_method,monthly_charges,total_charges,avg_charge_per_tenure,high_monthly_charge,short_tenure,is_long_term_contract,customer_id,actual_churn,churn_risk_score,risk_level,recommended_action
Male,0,Yes,Yes,70,Yes,Yes,Fiber optic,Yes,Yes,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,106.05,7554.05,106.3950704225352,1,0,0,5804-HYIEZ,0,0.5657543582959742,Medium Risk,Send satisfaction survey and retention message
Female,1,Yes,No,72,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Bank transfer (automatic),114.85,8317.95,113.94452054794522,1,0,1,2388-LAESQ,0,0.1631840594446125,Low Risk,Normal monitoring
Male,0,No,No,49,No,No phone service,DSL,No,No,Yes,No,No,No,Month-to-month,Yes,Bank transfer (automatic),30.2,1453.1,29.062,0,0,0,5533-RJFTJ,0,0.3567714655653544,Low Risk,Normal monitoring
Female,1,No,No,11,Yes,Yes,Fiber optic,No,No,No,No,No,Yes,Month-to-month,Yes,Credit card (automatic),84.8,906.85,75.57083333333334,1,1,0,4706-AXVKM,1,0.8573979133498895,High Risk,Offer long-term contract discount
Female,0,No,Yes,19,Yes,No,DSL,No,No,No,Yes,No,No,Month-to-month,No,Mailed check,48.8,953.65,47.6825,0,0,0,0997-YTLNY,0,0.2238028012722027,Low Risk,Normal monitoring
Male,0,Yes,Yes,72,Yes,Yes,Fiber optic,No,No,No,No,No,Yes,Two year,Yes,Credit card (automatic),84.5,6130.85,83.98424657534247,1,0,1,7971-HLVXI,0,0.1586260627332784,Low Risk,Normal monitoring
Female,0,Yes,Yes,8,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Bank transfer (automatic),19.5,159.35,17.705555555555556,0,1,1,7337-CINUD,0,0.0655003013949686,Low Risk,Normal monitoring
Male,0,No,Yes,15,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,No,Month-to-month,Yes,Electronic check,91.0,1430.05,89.378125,1,0,0,1379-FRVEB,0,0.7427996838885963,High Risk,Offer long-term contract discount
Female,0,Yes,No,67,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,One year,Yes,Bank transfer (automatic),105.7,6816.95,100.24926470588235,1,0,1,4753-PADAS,0,0.459969601671535,Medium Risk,Send satisfaction survey and retention message
Female,0,Yes,No,26,No,No phone service,DSL,Yes,No,Yes,No,No,No,One year,No,Credit card (automatic),35.4,978.6,36.24444444444445,0,0,1,5701-GUXDC,0,0.1790972776679134,Low Risk,Normal monitoring
Male,1,No,No,2,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Mailed check,74.85,156.4,52.13333333333333,1,1,0,7235-NXZCP,1,0.8943668518085413,High Risk,Offer long-term contract discount
Female,0,Yes,No,21,No,No phone service,DSL,Yes,No,No,No,No,No,Month-to-month,No,Electronic check,28.5,629.35,28.606818181818184,0,0,0,0668-OGMHD,0,0.443450652129262,Medium Risk,Send satisfaction survey and retention message
Female,0,Yes,No,49,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Bank transfer (automatic),20.05,923.1,18.462,0,0,1,2812-REYAT,0,0.0704443347308625,Low Risk,Normal monitoring
Male,0,Yes,Yes,21,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Mailed check,19.8,350.1,15.913636363636364,0,0,1,8779-YIQQA,0,0.0913060260630354,Low Risk,Normal monitoring
Female,0,Yes,No,51,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,No,Mailed check,69.15,3649.6,70.18461538461538,0,0,0,9701-CDXHR,0,0.3753528412892726,Low Risk,Normal monitoring
Male,1,Yes,No,16,Yes,No,DSL,Yes,Yes,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),54.55,825.1,48.53529411764706,0,0,0,7130-CTCUS,0,0.3802201097086728,Low Risk,Normal monitoring
Female,0,No,No,22,Yes,No,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,No,Electronic check,89.25,1907.85,82.95,1,0,0,1894-IGFSG,1,0.7447672840158089,High Risk,Offer long-term contract discount
Male,0,Yes,No,13,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),102.25,1359.0,97.07142857142856,1,0,0,0871-URUWO,1,0.8185458059336679,High Risk,Offer long-term contract discount
Female,0,No,Yes,43,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Electronic check,25.1,1070.15,24.32159090909091,0,0,1,0057-QBUQH,0,0.0533607412979584,Low Risk,Normal monitoring
Female,0,No,No,3,Yes,No,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,89.45,240.45,60.1125,1,1,0,9611-CTWIH,1,0.938278383504487,High Risk,Offer long-term contract discount
Male,1,No,No,54,Yes,Yes,Fiber optic,No,Yes,No,No,No,Yes,Month-to-month,Yes,Electronic check,90.05,4931.8,89.66909090909091,1,0,0,8058-DMYRU,0,0.6956966599241616,Medium Risk,Send satisfaction survey and retention message
Male,0,No,Yes,1,No,No phone service,DSL,No,No,No,No,No,No,Month-to-month,No,Mailed check,24.2,24.2,12.1,0,1,0,5351-QESIO,0,0.6675865670908578,Medium Risk,Send satisfaction survey and retention message
Male,0,Yes,Yes,69,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Credit card (automatic),20.55,1403.1,20.04428571428572,0,0,1,4302-ZYFEL,0,0.0356484248581163,Low Risk,Normal monitoring
Male,0,No,No,62,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Bank transfer (automatic),23.4,1429.65,22.692857142857143,0,0,1,6134-KWTBV,0,0.021699657554293,Low Risk,Normal monitoring
Female,0,No,No,2,Yes,No,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,90.4,168.2,56.06666666666666,1,1,0,2034-GDRCN,1,0.9470582761522596,High Risk,Offer long-term contract discount
Female,1,Yes,Yes,62,Yes,Yes,Fiber optic,No,Yes,Yes,No,No,Yes,Month-to-month,Yes,Credit card (automatic),96.1,6019.35,95.5452380952381,1,0,0,9544-PYPSJ,0,0.5434492701485697,Medium Risk,Send satisfaction survey and retention message
Male,1,No,No,2,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,No,Mailed check,44.95,85.15,28.383333333333336,0,1,0,4208-UFFGW,1,0.6400323874945123,Medium Risk,Send satisfaction survey and retention message
Male,0,Yes,Yes,69,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Bank transfer (automatic),19.9,1356.7,19.38142857142857,0,0,1,9537-JALFH,0,0.0107430993102851,Low Risk,Normal monitoring
Female,0,No,No,1,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,74.5,74.5,37.25,1,1,0,4415-IJZTP,1,0.943111459515294,High Risk,Offer long-term contract discount
Male,0,No,No,31,Yes,No,DSL,No,No,Yes,Yes,No,No,Month-to-month,Yes,Electronic check,55.25,1715.65,53.6140625,0,0,0,4701-MLJPN,1,0.3644985841829264,Low Risk,Normal monitoring
Male,1,No,No,69,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Credit card (automatic),20.3,1356.3,19.375714285714285,0,0,1,7515-LODFU,0,0.0149127399603953,Low Risk,Normal monitoring
Male,0,Yes,No,2,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,No,Month-to-month,Yes,Electronic check,91.45,171.45,57.15,1,1,0,4927-WWOOZ,0,0.9512951593105452,High Risk,Offer long-term contract discount
Female,0,No,No,33,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),70.4,2406.1,70.76764705882353,1,0,0,4067-HLYQI,0,0.5127925871302873,Medium Risk,Send satisfaction survey and retention message
Female,0,Yes,No,3,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,19.6,55.25,13.8125,0,1,0,6184-DYUOB,0,0.4522168838208532,Medium Risk,Send satisfaction survey and retention message
Male,0,No,No,44,Yes,No,DSL,Yes,No,No,Yes,Yes,No,One year,No,Electronic check,65.4,2774.55,61.65666666666667,0,0,1,9209-NWPGU,0,0.1266017926073908,Low Risk,Normal monitoring
Male,0,No,No,10,Yes,No,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,110.1,1043.3,94.84545454545454,1,1,0,9851-KIELU,1,0.7926759827023233,High Risk,Offer long-term contract discount
Female,0,No,No,8,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,75.25,576.7,64.07777777777778,1,1,0,3199-XGZCY,0,0.862058671577606,High Risk,Offer long-term contract discount
Male,0,No,No,8,Yes,No,DSL,No,Yes,No,Yes,Yes,No,Month-to-month,Yes,Electronic check,66.65,520.95,57.88333333333334,0,1,0,4226-KKDON,0,0.6260995524622645,Medium Risk,Send satisfaction survey and retention message
Female,0,Yes,Yes,69,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Credit card (automatic),20.35,1442.65,20.609285714285715,0,0,1,1085-LDWAM,0,0.0341642986067944,Low Risk,Normal monitoring
Female,0,No,No,23,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,No,Bank transfer (automatic),75.6,1758.6,73.27499999999999,1,0,0,6825-UYPFK,1,0.5736655595663678,Medium Risk,Send satisfaction survey and retention message
Male,0,No,No,66,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Mailed check,25.1,1697.7,25.338805970149256,0,0,1,1767-CJKBA,0,0.0192674438128723,Low Risk,Normal monitoring
Female,0,Yes,Yes,1,Yes,Yes,Fiber optic,Yes,No,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,102.45,102.45,51.225,1,1,0,7181-BQYBV,1,0.962365972934641,High Risk,Offer long-term contract discount
Female,0,No,No,3,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,19.95,58.0,14.5,0,1,0,0178-CIIKR,0,0.3553581899649078,Low Risk,Normal monitoring
Female,0,No,Yes,5,Yes,No,DSL,No,No,No,Yes,No,No,Month-to-month,Yes,Mailed check,51.0,286.8,47.8,0,1,0,4256-ZWTZI,0,0.4270049564987022,Medium Risk,Send satisfaction survey and retention message
Female,0,No,Yes,1,Yes,No,DSL,Yes,No,No,No,No,No,Month-to-month,No,Mailed check,51.2,51.2,25.6,0,1,0,9537-VHDTA,0,0.5234333972426185,Medium Risk,Send satisfaction survey and retention message
Female,0,No,No,9,Yes,No,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,Bank transfer (automatic),77.65,714.15,71.41499999999999,1,1,0,2754-XBHTB,1,0.7803241650114102,High Risk,Offer long-term contract discount
Male,0,Yes,Yes,36,Yes,No,DSL,Yes,No,Yes,No,No,Yes,One year,Yes,Credit card (automatic),63.7,2188.5,59.148648648648646,0,0,1,5975-BAICR,0,0.166551514536037,Low Risk,Normal monitoring
Male,0,Yes,Yes,68,Yes,Yes,Fiber optic,Yes,Yes,No,No,No,No,One year,Yes,Bank transfer (automatic),85.5,5696.6,82.55942028985508,1,0,1,3301-VKTGC,0,0.1840494665319793,Low Risk,Normal monitoring
Female,0,Yes,Yes,35,No,No phone service,DSL,No,No,No,Yes,Yes,No,One year,No,Mailed check,40.9,1383.6,38.43333333333333,0,0,1,2877-VDUER,0,0.1818229427876084,Low Risk,Normal monitoring
Male,0,Yes,Yes,60,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Mailed check,20.55,1205.05,19.75491803278689,0,0,1,7717-BICXI,0,0.0136777551671896,Low Risk,Normal monitoring
Female,0,Yes,Yes,72,Yes,Yes,DSL,Yes,Yes,No,Yes,Yes,No,Two year,No,Mailed check,74.55,5430.65,74.39246575342466,1,0,1,0562-FGDCR,0,0.0225541486528395,Low Risk,Normal monitoring
Male,0,No,No,45,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Electronic check,20.4,930.45,20.22717391304348,0,0,1,3705-PSNGL,1,0.1030886737004176,Low Risk,Normal monitoring
Male,0,Yes,Yes,37,Yes,No,Fiber optic,No,No,No,No,Yes,Yes,One year,No,Credit card (automatic),91.2,3247.55,85.46184210526316,1,0,1,0048-LUMLS,0,0.3830763864049197,Low Risk,Normal monitoring
Female,0,Yes,Yes,7,Yes,No,DSL,Yes,No,No,No,No,No,Month-to-month,No,Mailed check,50.7,350.35,43.79375,0,1,0,6497-TILVL,0,0.3601148868046649,Low Risk,Normal monitoring
Female,0,No,No,4,Yes,No,DSL,No,Yes,No,No,No,No,Month-to-month,No,Credit card (automatic),50.7,151.3,30.26,0,1,0,2108-YKQTY,1,0.5753516232760153,Medium Risk,Send satisfaction survey and retention message
Female,0,No,No,1,Yes,No,DSL,Yes,Yes,No,No,No,No,Month-to-month,Yes,Electronic check,54.9,54.9,27.45,0,1,0,3658-KIBGF,1,0.7176872794375774,High Risk,Offer long-term contract discount
Female,0,No,No,4,Yes,No,DSL,Yes,Yes,No,Yes,No,No,Month-to-month,Yes,Mailed check,60.4,272.15,54.42999999999999,0,1,0,5482-NUPNA,1,0.3795115099913431,Low Risk,Normal monitoring
Male,0,Yes,No,18,Yes,No,DSL,No,No,Yes,No,No,No,Month-to-month,Yes,Mailed check,49.55,878.35,46.22894736842105,0,0,0,7410-KTVFV,1,0.4391590468348307,Medium Risk,Send satisfaction survey and retention message
Female,0,No,No,12,Yes,Yes,DSL,No,No,No,Yes,Yes,Yes,One year,No,Mailed check,74.05,872.65,67.12692307692308,1,1,1,9033-EOXWV,1,0.4073412468020881,Medium Risk,Send satisfaction survey and retention message
Female,0,Yes,Yes,1,Yes,No,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,Mailed check,80.05,80.05,40.025,1,1,0,8821-XNHVZ,1,0.9085763981203338,High Risk,Offer long-term contract discount
Male,0,Yes,Yes,72,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Bank transfer (automatic),25.0,1738.9,23.82054794520548,0,0,1,8224-KDLKN,0,0.0144422279430661,Low Risk,Normal monitoring
Male,0,Yes,No,42,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Electronic check,20.25,835.5,19.430232558139537,0,0,1,4825-FUREZ,0,0.0378366433409309,Low Risk,Normal monitoring
Male,1,No,No,24,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,76.1,1712.7,68.508,1,0,0,7534-BFESC,1,0.7881397148518751,High Risk,Offer long-term contract discount
Male,0,Yes,Yes,26,Yes,No,Fiber optic,No,No,No,No,No,Yes,One year,No,Bank transfer (automatic),78.95,2034.25,75.3425925925926,1,0,1,9138-EFSMO,0,0.3481997825785596,Low Risk,Normal monitoring
Female,0,Yes,Yes,68,Yes,Yes,DSL,Yes,Yes,Yes,No,Yes,No,One year,Yes,Credit card (automatic),73.0,5163.0,74.82608695652173,1,0,1,4227-OJHAL,0,0.0977675161701195,Low Risk,Normal monitoring
Female,0,No,No,17,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Bank transfer (automatic),19.9,323.15,17.952777777777776,0,0,1,7279-NMVJC,0,0.1063892371152693,Low Risk,Normal monitoring
Male,0,Yes,Yes,59,Yes,Yes,Fiber optic,Yes,Yes,No,Yes,Yes,Yes,Two year,Yes,Mailed check,111.1,6555.2,109.25333333333332,1,0,1,8591-TKMZH,0,0.1392509944173484,Low Risk,Normal monitoring
Male,0,Yes,Yes,13,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Credit card (automatic),74.4,896.75,64.05357142857143,1,0,0,9283-LZQOH,1,0.7202529349410318,High Risk,Offer long-term contract discount
Female,0,No,No,2,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,20.45,42.45,14.15,0,1,0,3594-IVHJZ,0,0.446896584989416,Medium Risk,Send satisfaction survey and retention message
Female,0,Yes,No,67,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Mailed check,19.65,1335.2,19.63529411764706,0,0,1,1945-XISKS,0,0.0136043513415154,Low Risk,Normal monitoring
Female,0,No,No,17,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Credit card (automatic),20.05,337.9,18.772222222222226,0,0,1,4359-INNWN,0,0.1053715669208299,Low Risk,Normal monitoring
Male,0,Yes,No,71,Yes,Yes,DSL,Yes,Yes,Yes,Yes,No,Yes,Two year,Yes,Mailed check,80.1,5585.4,77.57499999999999,1,0,1,7649-SIJJF,0,0.0445377962823608,Low Risk,Normal monitoring
Female,0,Yes,Yes,17,Yes,No,Fiber optic,No,No,Yes,Yes,Yes,Yes,One year,No,Bank transfer (automatic),98.6,1704.95,94.71944444444443,1,0,1,9254-RBFON,1,0.3735307421877332,Low Risk,Normal monitoring
Male,0,No,No,1,Yes,No,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,89.55,89.55,44.775,1,1,0,0970-ETWGE,1,0.9637012574656084,High Risk,Offer long-term contract discount
Female,0,Yes,Yes,6,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Mailed check,19.7,94.45,13.492857142857144,0,1,1,7762-ONLJY,0,0.1709029913945291,Low Risk,Normal monitoring
Male,0,Yes,No,61,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,114.1,7132.15,115.03467741935484,1,0,0,6710-HSJRD,0,0.6587665513392222,Medium Risk,Send satisfaction survey and retention message
Female,0,No,No,6,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Mailed check,73.85,401.3,57.32857142857143,1,1,0,8873-GLDMH,0,0.8449615798289558,High Risk,Offer long-term contract discount
Female,1,No,No,1,No,No phone service,DSL,No,No,No,No,No,No,Month-to-month,No,Mailed check,25.05,25.05,12.525,0,1,0,9907-SWKKF,1,0.7376782974071674,High Risk,Offer long-term contract discount
Female,0,Yes,Yes,21,Yes,No,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,102.8,2110.15,95.9159090909091,1,0,0,4658-HCOHW,1,0.7030111483709611,High Risk,Offer long-term contract discount
Female,0,Yes,No,60,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Credit card (automatic),110.8,6640.7,108.8639344262295,1,0,1,9330-VOFSZ,0,0.2173279093876086,Low Risk,Normal monitoring
Female,1,No,No,20,Yes,Yes,Fiber optic,No,No,No,No,No,Yes,Month-to-month,Yes,Credit card (automatic),85.8,1727.5,82.26190476190476,1,0,0,2860-RANUS,1,0.7646577509738144,High Risk,Offer long-term contract discount
Male,0,Yes,No,22,Yes,Yes,Fiber optic,Yes,No,No,Yes,Yes,No,Month-to-month,No,Credit card (automatic),95.9,2234.95,97.17173913043476,1,0,0,6234-PFPXL,0,0.4794304650634737,Medium Risk,Send satisfaction survey and retention message
Female,0,No,No,40,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Bank transfer (automatic),20.6,827.3,20.178048780487803,0,0,1,7205-BAIAD,0,0.0350505611102489,Low Risk,Normal monitoring
Male,0,No,No,23,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,74.95,1710.45,71.26875,1,0,0,3858-VOBET,1,0.747249299910046,High Risk,Offer long-term contract discount
Female,0,No,Yes,1,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,No,Mailed check,45.95,45.95,22.975,0,1,0,5103-MHMHY,1,0.5971601314828722,Medium Risk,Send satisfaction survey and retention message
Male,0,No,No,46,No,No phone service,DSL,Yes,No,Yes,Yes,No,No,Two year,No,Mailed check,38.25,1755.35,37.34787234042553,0,0,1,6119-SPUDB,0,0.0430852347501727,Low Risk,Normal monitoring
Female,0,Yes,Yes,5,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,No,Credit card (automatic),69.95,320.4,53.4,0,1,0,9389-ACWBI,0,0.7171758015693728,High Risk,Offer long-term contract discount
Male,1,No,No,68,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Credit card (automatic),20.0,1396.0,20.231884057971016,0,0,1,3454-JFUBC,0,0.0208094537504225,Low Risk,Normal monitoring
Female,1,No,No,1,No,No phone service,DSL,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,25.2,25.2,12.6,0,1,0,1768-ZAIFU,1,0.8498931551226683,High Risk,Offer long-term contract discount
Female,0,Yes,No,2,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Bank transfer (automatic),20.1,43.15,14.383333333333333,0,1,0,7017-VFULY,0,0.3719168335256135,Low Risk,Normal monitoring
Female,1,No,No,14,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,104.85,1531.4,102.09333333333332,1,0,0,9221-OTIVJ,1,0.851229791010748,High Risk,Offer long-term contract discount
Male,0,No,No,10,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,70.0,740.0,67.27272727272727,0,1,0,2482-CZGBB,1,0.7853936798828407,High Risk,Offer long-term contract discount
Male,0,No,Yes,13,Yes,No,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,Credit card (automatic),78.3,1033.95,73.85357142857143,1,0,0,7018-WBJNK,0,0.6631926043743772,Medium Risk,Send satisfaction survey and retention message
Female,0,No,No,34,Yes,Yes,Fiber optic,Yes,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Mailed check,109.8,3587.25,102.49285714285716,1,0,0,3331-HQDTW,1,0.6744455795754162,Medium Risk,Send satisfaction survey and retention message
Male,0,Yes,Yes,18,Yes,No,DSL,No,No,Yes,No,No,Yes,Month-to-month,No,Electronic check,57.45,990.85,52.15,0,0,0,4695-VADHF,1,0.4868141888231609,Medium Risk,Send satisfaction survey and retention message
Male,0,Yes,Yes,71,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Credit card (automatic),19.7,1301.1,18.070833333333333,0,0,1,4086-WITJG,0,0.0105812771239425,Low Risk,Normal monitoring
Female,0,Yes,No,70,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Electronic check,110.5,7752.05,109.1838028169014,1,0,1,6297-NOOPG,0,0.258357213543046,Low Risk,Normal monitoring
Female,0,Yes,No,52,Yes,No,DSL,Yes,No,Yes,No,Yes,No,One year,Yes,Mailed check,64.3,3410.6,64.35094339622641,0,0,1,8777-PVYGU,0,0.1322843727793383,Low Risk,Normal monitoring
Male,0,Yes,Yes,68,Yes,No,Fiber optic,Yes,Yes,Yes,No,Yes,Yes,Two year,Yes,Bank transfer (automatic),105.25,7173.15,103.9586956521739,1,0,1,4378-MYPGO,0,0.1171646148002649,Low Risk,Normal monitoring
Male,0,Yes,Yes,38,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,19.6,717.3,18.392307692307693,0,0,0,9313-CDOGY,0,0.157002298904846,Low Risk,Normal monitoring
Female,0,Yes,Yes,58,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Credit card (automatic),24.5,1497.9,25.38813559322034,0,0,1,4121-AGSIN,0,0.0620120536008685,Low Risk,Normal monitoring
Male,0,No,No,3,Yes,No,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,No,Mailed check,90.7,237.65,59.4125,1,1,0,0432-CAJZV,0,0.8901106818210592,High Risk,Offer long-term contract discount
Male,0,Yes,No,14,Yes,No,DSL,No,No,No,Yes,No,No,Month-to-month,No,Bank transfer (automatic),48.8,664.4,44.29333333333333,0,0,0,9097-ZUBYC,0,0.3202115568362607,Low Risk,Normal monitoring
Male,0,No,No,2,No,No phone service,DSL,No,No,No,No,No,No,Month-to-month,Yes,Credit card (automatic),24.9,49.7,16.566666666666666,0,1,0,9638-JIQYA,0,0.7485033148275798,High Risk,Offer long-term contract discount
Female,0,Yes,No,1,No,No phone service,DSL,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,24.8,24.8,12.4,0,1,0,1024-GUALD,1,0.8366182555867258,High Risk,Offer long-term contract discount
